// [========================================================]
// [=============     Yggdrasil - mapflags      ============]
// [========================================================]
// [ Version 1                                              ]
// [========================================================]
// [ Original script by: Alayne				    ]
// [========================================================]
// [ Description:                                           ]
// [--------------------------------------------------------]
// [                                                        ]
// [ - The Yggdrasil Project - mapflags			    ]
// [========================================================]
// [ Changelog: (5 last updates)                            ]
// [--------------------------------------------------------]
// [                                                        ]
// [ v0: Creation                      			    ]
// [                                                        ]
// [                                                        ]
// [========================================================]
// [                                                        ]
// [========================================================]

lum_boss	mapflag	gvg_castle

//Midgard

Hyrule	mapflag	nowarp
Hyrule	mapflag	nomemo
Hyrule	mapflag	nowarpto
Hyrule	mapflag	loadevent

heidelberg	mapflag	nowarp
heidelberg	mapflag	nomemo
heidelberg	mapflag	nowarpto
heidelberg	mapflag	loadevent
//heidelberg	mapflag	bexp	10
//heidelberg	mapflag	jexp	10

dep_lb	mapflag	nowarp
dep_lb	mapflag	nomemo
dep_lb	mapflag	nowarpto
dep_lb	mapflag	noteleport
dep_lb	mapflag	loadevent
//dep_lb	mapflag	bexp	10
//dep_lb	mapflag	jexp	10

aqt_fild02	mapflag	nowarp
aqt_fild02	mapflag	nomemo
aqt_fild02	mapflag	nowarpto
aqt_fild02	mapflag	loadevent
//aqt_fild02	mapflag	bexp	10
//aqt_fild02	mapflag	jexp	10

aqt_fild01	mapflag	nowarp
aqt_fild01	mapflag	nomemo
aqt_fild01	mapflag	nowarpto
aqt_fild01	mapflag	loadevent
//aqt_fild01	mapflag	bexp	10
//aqt_fild01	mapflag	jexp	10

aquitaine	mapflag	nowarp
aquitaine	mapflag	nomemo
aquitaine	mapflag	nowarpto
aquitaine	mapflag	loadevent
//aquitaine	mapflag	bexp	10
//aquitaine	mapflag	jexp	10

lafayette	mapflag	nowarp
lafayette	mapflag	nomemo
lafayette	mapflag	nowarpto
lafayette	mapflag	loadevent
//lafayette	mapflag	bexp	10
//lafayette	mapflag	jexp	10

temple_lb	mapflag	nowarp
temple_lb	mapflag	nomemo
temple_lb	mapflag	nowarpto
temple_lb	mapflag	loadevent
//temple_lb	mapflag	bexp	10
//temple_lb	mapflag	jexp	10

thalys_o	mapflag	nowarp
thalys_o	mapflag	nomemo
thalys_o	mapflag	nowarpto
thalys_o	mapflag	loadevent
//thalys_o	mapflag	bexp	10
//thalys_o	mapflag	jexp	10

cs_lb	mapflag	nowarp
cs_lb	mapflag	nomemo
cs_lb	mapflag	nowarpto
cs_lb	mapflag	loadevent
//cs_lb	mapflag	bexp	10
//cs_lb	mapflag	jexp	10

lumina	mapflag	nowarp
lumina	mapflag	nomemo
lumina	mapflag	nowarpto
lumina	mapflag	loadevent
//lumina	mapflag	bexp	10
//lumina	mapflag	jexp	10

aqt_shrine	mapflag	nowarp
aqt_shrine	mapflag	nomemo
aqt_shrine	mapflag	nowarpto
aqt_shrine	mapflag	loadevent
//aqt_shrine	mapflag	bexp	10
//aqt_shrine	mapflag	jexp	10

mysterio	mapflag	nowarp
mysterio	mapflag	nomemo
mysterio	mapflag	nowarpto
mysterio	mapflag	loadevent
//mysterio	mapflag	bexp	10
//mysterio	mapflag	jexp	10

revencia	mapflag	nowarp
revencia	mapflag	nomemo
revencia	mapflag	nowarpto
revencia	mapflag	loadevent
//revencia	mapflag	bexp	10
//revencia	mapflag	jexp	10

zhakastia	mapflag	nowarp
zhakastia	mapflag	nomemo
zhakastia	mapflag	nowarpto
zhakastia	mapflag	loadevent
//zhakastia	mapflag	bexp	10
//zhakastia	mapflag	jexp	10

casp_cave	mapflag	nowarp
casp_cave	mapflag	nomemo
casp_cave	mapflag	nowarpto
casp_cave	mapflag	loadevent
//casp_cave	mapflag	bexp	10
//casp_cave	mapflag	jexp	10

casp_step	mapflag	nowarp
casp_step	mapflag	nomemo
casp_step	mapflag	nowarpto
casp_step	mapflag	loadevent
//casp_step	mapflag	bexp	10
//casp_step	mapflag	jexp	10

casp_dun01	mapflag	nowarp
casp_dun01	mapflag	nomemo
casp_dun01	mapflag	nowarpto
casp_dun01	mapflag	loadevent
//casp_dun01	mapflag	bexp	10
//casp_dun01	mapflag	jexp	10

casp_dun02	mapflag	nowarp
casp_dun02	mapflag	nomemo
casp_dun02	mapflag	nowarpto
casp_dun02	mapflag	loadevent
//casp_dun02	mapflag	bexp	10
//casp_dun02	mapflag	jexp	10

//Jotunheim

ars_fild07	mapflag	nowarp
ars_fild07	mapflag	nomemo
ars_fild07	mapflag	nowarpto
ars_fild07	mapflag	loadevent
//ars_fild07	mapflag	bexp	10
//ars_fild07	mapflag	jexp	10

invek	mapflag	nowarp
invek	mapflag	nomemo
invek	mapflag	nowarpto
invek	mapflag	loadevent

ars_fild08	mapflag	nowarp
ars_fild08	mapflag	nomemo
ars_fild08	mapflag	nowarpto
